Load address: $F400 Init address: $F400 Play address: $F52B
Calling initroutine with subtune 0
Calling playroutine for 2650 frames, starting from frame 0
Middle C frequency is $1168

| Frame | Freq Note/Abs WF ADSR Pul | Freq Note/Abs WF ADSR Pul | Freq Note/Abs WF ADSR Pul | FCut RC Typ V |
|  1962 | 0674 (- 0010) .. .... 3E6 | 1A80 (+ 0038) .. .... 7C4 | ....  ... ..  .. .... 72E | .... .. ... . |
|  1963 | 0664 (- 0010) .. .... 42C | 1A48 (- 0038) .. .... 800 | 19D8 (+ 0038) .. .... 774 | .... .. ... . |
|  1964 | ....  ... ..  .. .... 472 | 1A10 (- 0038) .. .... 7C4 | 1A10 (+ 0038) .. .... 7BA | .... .. ... . |
|  1965 | 0674 (+ 0010) .. .... 4B8 | 19D8 (- 0038) .. .... 788 | 1A48 (+ 0038) .. .... 800 | .... .. ... . |
|  1966 | 0684 (+ 0010) .. .... 4FE | 19A0 (- 0038) .. .... 74C | 1A80 (+ 0038) .. .... 7BA | .... .. ... . |
|  1967 | 0694 (+ 0010) .. .... 544 | ....  ... ..  .. .... 710 | 1A48 (- 0038) .. .... 774 | .... .. ... . |
|  1968 | 0644 (F#2 9E) .. .... 58A | 19D8 (+ 0038) .. .... 6D4 | 1A10 (- 0038) .. .... 72E | .... .. ... . |
|  1969 | 0634 (- 0010) .. .... 5D0 | 1A10 (+ 0038) .. .... 698 | 19D8 (- 0038) .. .... 6E8 | .... .. ... . |
|  1970 | 0624 (- 0010) .. .... 616 | 1A48 (+ 0038) .. .... 65C | 19A0 (- 0038) .. .... 72E | .... .. ... . |
|  1971 | 0614 (- 0010) .. .... 65C | 1A80 (+ 0038) .. .... 620 | ....  ... ..  .. .... 774 | .... .. ... . |
|  1972 | 0604 (- 0010) .. .... 6A2 | 1A48 (- 0038) .. .... 5E4 | 19D8 (+ 0038) .. .... 7BA | .... .. ... . |
|  1973 | ....  ... ..  .. .... 6E8 | 1A10 (- 0038) .. .... 620 | 1A10 (+ 0038) .. .... 800 | .... .. ... . |
|  1974 | 0614 (+ 0010) .. .... 72E | 19D8 (- 0038) .. .... 65C | 1A48 (+ 0038) .. .... 7BA | .... .. ... . |
|  1975 | 0624 (+ 0010) .. .... 774 | 19A0 (- 0038) .. .... 698 | 1A80 (+ 0038) .. .... 774 | .... .. ... . |
|  1976 | 0634 (+ 0010) .. .... 7BA | ....  ... ..  .. .... 6D4 | 1A48 (- 0038) .. .... 72E | .... .. ... . |
|  1977 | 0644 (+ 0010) .. .... 800 | 19D8 (+ 0038) .. .... 710 | 1A10 (- 0038) .. .... 6E8 | .... .. ... . |
|  1978 | 0634 (- 0010) .. .... 7BA | 1A10 (+ 0038) .. .... 74C | 19D8 (- 0038) .. .... 72E | .... .. ... . |
|  1979 | 0624 (- 0010) .. .... 774 | 1A48 (+ 0038) .. .... 788 | 19A0 (- 0038) .. .... 774 | .... .. ... . |
|  1980 | 0614 (- 0010) .. .... 72E | 1A80 (+ 0038) .. .... 7C4 | ....  ... ..  .. .... 7BA | .... .. ... . |
|  1981 | 0604 (- 0010) .. .... 6E8 | 1A48 (- 0038) .. .... 800 | 19D8 (+ 0038) .. .... 800 | .... .. ... . |
|  1982 | ....  ... ..  .. .... 6A2 | 1A10 (- 0038) .. .... 7C4 | 1A10 (+ 0038) .. .... 7BA | .... .. ... . |
|  1983 | 0614 (+ 0010) .. .... 65C | 19D8 (- 0038) .. .... 788 | 1A48 (+ 0038) .. .... 774 | .... .. ... . |
|  1984 | 0624 (+ 0010) .. .... 616 | 19A0 (- 0038) .. .... 74C | 1A80 (+ 0038) .. .... 72E | .... .. ... . |
|  1985 | 0634 (+ 0010) .. .... 5D0 | ....  ... ..  .. .... 710 | 1A48 (- 0038) .. .... 6E8 | .... .. ... . |
|  1986 | 0644 (+ 0010) .. .... 58A | 19D8 (+ 0038) .. .... 6D4 | 1A10 (- 0038) .. .... 72E | .... .. ... . |
|  1987 | 0634 (- 0010) .. .... 544 | 1A10 (+ 0038) .. .... 698 | 19D8 (- 0038) .. .... 774 | .... .. ... . |
|  1988 | 0624 (- 0010) .. .... 4FE | 1A48 (+ 0038) .. .... 65C | 19A0 (- 0038) .. .... 7BA | .... .. ... . |
|  1989 | 0614 (- 0010) .. .... 4B8 | 1A80 (+ 0038) .. .... 620 | ....  ... ..  .. .... 800 | .... .. ... . |
|  1990 | 0604 (- 0010) .. .... 472 | 1A48 (- 0038) .. .... 5E4 | 19D8 (+ 0038) .. .... 7BA | .... .. ... . |
|  1991 | ....  ... ..  .. .... 42C | 1A10 (- 0038) .. .... 620 | 1A10 (+ 0038) .. .... 774 | .... .. ... . |
|  1992 | 0570 (E-2 9C) .. .... 3E6 | 26E4 (D-5 BE) .. .... 65C | 1A48 (+ 0038) .. .... 72E | .... .. ... . |
|  1993 | 0580 (+ 0010) .. .... 3A0 | 26C8 (- 001C) .. .... 698 | 1A80 (+ 0038) .. .... 6E8 | .... .. ... . |
|  1994 | 0590 (+ 0010) .. .... 35A | ....  ... ..  .. .... 6D4 | 1A48 (- 0038) .. .... 72E | .... .. ... . |
|  1995 | 05A0 (+ 0010) .. .... 314 | 26E4 (+ 001C) .. .... 710 | 1A10 (- 0038) .. .... 774 | .... .. ... . |
|  1996 | 0590 (- 0010) .. .... 2CE | 2700 (+ 001C) .. .... 74C | 26E4 (D-5 BE) .. .... 7BA | .... .. ... . |
|  1997 | 0580 (- 0010) .. .... 314 | 271C (+ 001C) .. .... 788 | 26C8 (- 001C) .. .... 800 | .... .. ... . |
|  1998 | 0570 (- 0010) .. .... 35A | 2738 (+ 001C) .. .... 7C4 | ....  ... ..  .. .... 7BA | .... .. ... . |
|  1999 | 0560 (- 0010) .. .... 3A0 | 271C (- 001C) .. .... 800 | 26E4 (+ 001C) .. .... 774 | .... .. ... . |
|  2000 | ....  ... ..  .. .... 3E6 | 2700 (- 001C) .. .... 7C4 | 2700 (+ 001C) .. .... 72E | .... .. ... . |
|  2001 | 0570 (+ 0010) .. .... 42C | 26E4 (- 001C) .. .... 788 | 271C (+ 001C) .. .... 6E8 | .... .. ... . |
|  2002 | 0580 (+ 0010) .. .... 472 | 26C8 (- 001C) .. .... 74C | 2738 (+ 001C) .. .... 72E | .... .. ... . |
|  2003 | 0590 (+ 0010) .. .... 4B8 | ....  ... ..  .. .... 710 | 271C (- 001C) .. .... 774 | .... .. ... . |
|  2004 | 05A0 (+ 0010) .. .... 4FE | 26E4 (+ 001C) .. .... 6D4 | 2700 (- 001C) .. .... 7BA | .... .. ... . |
|  2005 | 0590 (- 0010) .. .... 544 | 2700 (+ 001C) .. .... 698 | 26E4 (- 001C) .. .... 800 | .... .. ... . |
|  2006 | 0580 (- 0010) .. .... 58A | 271C (+ 001C) .. .... 65C | 26C8 (- 001C) .. .... 7BA | .... .. ... . |
|  2007 | 0570 (- 0010) .. .... 5D0 | 2738 (+ 001C) .. .... 620 | ....  ... ..  .. .... 774 | .... .. ... . |
|  2008 | 0560 (- 0010) .. .... 616 | 271C (- 001C) .. .... 5E4 | 26E4 (+ 001C) .. .... 72E | .... .. ... . |
|  2009 | ....  ... ..  .. .... 65C | 2700 (- 001C) .. .... 620 | 2700 (+ 001C) .. .... 6E8 | .... .. ... . |
|  2010 | 0570 (+ 0010) .. .... 6A2 | 26E4 (- 001C) .. .... 65C | 271C (+ 001C) .. .... 72E | .... .. ... . |
|  2011 | 0580 (+ 0010) .. .... 6E8 | 26C8 (- 001C) .. .... 698 | 2738 (+ 001C) .. .... 774 | .... .. ... . |
|  2012 | 0590 (+ 0010) .. .... 72E | ....  ... ..  .. .... 6D4 | 271C (- 001C) .. .... 7BA | .... .. ... . |
|  2013 | 05A0 (+ 0010) .. .... 774 | 26E4 (+ 001C) .. .... 710 | 2700 (- 001C) .. .... 800 | .... .. ... . |
|  2014 | 0590 (- 0010) .. .... 7BA | 2700 (+ 001C) .. .... 74C | 26E4 (- 001C) .. .... 7BA | .... .. ... . |
|  2015 | 0580 (- 0010) .. .... 800 | 271C (+ 001C) .. .... 788 | 26C8 (- 001C) .. .... 774 | .... .. ... . |
|  2016 | 04D0 (D-2 9A) .. .... 7BA | 2738 (+ 001C) .. .... 7C4 | ....  ... ..  .. .... 72E | .... .. ... . |
|  2017 | 04C0 (- 0010) .. .... 774 | 271C (- 001C) .. .... 800 | 26E4 (+ 001C) .. .... 6E8 | .... .. ... . |
|  2018 | ....  ... ..  .. .... 72E | 2700 (- 001C) .. .... 7C4 | 2700 (+ 001C) .. .... 72E | .... .. ... . |
|  2019 | 04D0 (+ 0010) .. .... 6E8 | 26E4 (- 001C) .. .... 788 | 271C (+ 001C) .. .... 774 | .... .. ... . |
|  2020 | 04E0 (+ 0010) .. .... 6A2 | 26C8 (- 001C) .. .... 74C | 2738 (+ 001C) .. .... 7BA | .... .. ... . |
|  2021 | 04F0 (+ 0010) .. .... 65C | ....  ... ..  .. .... 710 | 271C (- 001C) .. .... 800 | .... .. ... . |
|  2022 | 0500 (+ 0010) .. .... 616 | 26E4 (+ 001C) .. .... 6D4 | 2700 (- 001C) .. .... 7BA | .... .. ... . |
|  2023 | 04F0 (- 0010) .. .... 5D0 | 2700 (+ 001C) .. .... 698 | 26E4 (- 001C) .. .... 774 | .... .. ... . |
|  2024 | 04E0 (- 0010) .. .... 58A | 271C (+ 001C) .. .... 65C | 26C8 (- 001C) .. .... 72E | .... .. ... . |
|  2025 | 04D0 (- 0010) .. .... 544 | 2738 (+ 001C) .. .... 620 | ....  ... ..  .. .... 6E8 | .... .. ... . |
|  2026 | 04C0 (- 0010) .. .... 4FE | 271C (- 001C) .. .... 5E4 | 26E4 (+ 001C) .. .... 72E | .... .. ... . |
|  2027 | ....  ... ..  .. .... 4B8 | 2700 (- 001C) .. .... 620 | 2700 (+ 001C) .. .... 774 | .... .. ... . |
|  2028 | 04D0 (+ 0010) .. .... 472 | 26E4 (- 001C) .. .... 65C | 271C (+ 001C) .. .... 7BA | .... .. ... . |
|  2029 | 04E0 (+ 0010) .. .... 42C | 26C8 (- 001C) .. .... 698 | 2738 (+ 001C) .. .... 800 | .... .. ... . |
|  2030 | 04F0 (+ 0010) .. .... 3E6 | ....  ... ..  .. .... 6D4 | 271C (- 001C) .. .... 7BA | .... .. ... . |
|  2031 | 0500 (+ 0010) .. .... 3A0 | 26E4 (+ 001C) .. .... 710 | 2700 (- 001C) .. .... 774 | .... .. ... . |
|  2032 | 04F0 (- 0010) .. .... 35A | 2700 (+ 001C) .. .... 74C | 26E4 (- 001C) .. .... 72E | .... .. ... . |
|  2033 | 04E0 (- 0010) .. .... 314 | 271C (+ 001C) .. .... 788 | 26C8 (- 001C) .. .... 6E8 | .... .. ... . |
|  2034 | 04D0 (- 0010) .. .... 2CE | 2738 (+ 001C) .. .... 7C4 | ....  ... ..  .. .... 72E | .... .. ... . |
|  2035 | 04C0 (- 0010) .. .... 314 | 271C (- 001C) .. .... 800 | 26E4 (+ 001C) .. .... 774 | .... .. ... . |
|  2036 | ....  ... ..  .. .... 35A | 2700 (- 001C) .. .... 7C4 | 2700 (+ 001C) .. .... 7BA | .... .. ... . |
|  2037 | 04D0 (+ 0010) .. .... 3A0 | 26E4 (- 001C) .. .... 788 | 271C (+ 001C) .. .... 800 | .... .. ... . |
|  2038 | 04E0 (+ 0010) .. .... 3E6 | 26C8 (- 001C) .. .... 74C | 2738 (+ 001C) .. .... 7BA | .... .. ... . |
|  2039 | 04F0 (+ 0010) .. .... 42C | ....  ... ..  .. .... 710 | 271C (- 001C) .. .... 774 | .... .. ... . |
|  2040 | 0478 (C-2 98) .. .... 472 | 22A4 (C-5 BC) .. .... 6D4 | 2700 (- 001C) .. .... 72E | .... .. ... . |
|  2041 | 0468 (- 0010) .. .... 4B8 | 22C0 (+ 001C) .. .... 698 | 26E4 (- 001C) .. .... 6E8 | .... .. ... . |
|  2042 | 0458 (- 0010) .. .... 4FE | 22DC (+ 001C) .. .... 65C | 26C8 (- 001C) .. .... 72E | .... .. ... . |
|  2043 | 0448 (- 0010) .. .... 544 | 22F8 (+ 001C) .. .... 620 | ....  ... ..  .. .... 774 | .... .. ... . |
|  2044 | 0438 (B-1 97) .. .... 58A | 22DC (- 001C) .. .... 5E4 | 22A4 (C-5 BC) .. .... 7BA | .... .. ... . |
|  2045 | ....  ... ..  .. .... 5D0 | 22C0 (- 001C) .. .... 620 | 22C0 (+ 001C) .. .... 800 | .... .. ... . |
|  2046 | 0448 (C-2 98) .. .... 616 | 22A4 (- 001C) .. .... 65C | 22DC (+ 001C) .. .... 7BA | .... .. ... . |
|  2047 | 0458 (+ 0010) .. .... 65C | 2288 (- 001C) .. .... 698 | 22F8 (+ 001C) .. .... 774 | .... .. ... . |
|  2048 | 0468 (+ 0010) .. .... 6A2 | 2070 (B-4 BB) .. .... 6D4 | 22DC (- 001C) .. .... 72E | .... .. ... . |
|  2049 | 0478 (+ 0010) .. .... 6E8 | 20A8 (+ 0038) .. .... 710 | 22C0 (- 001C) .. .... 6E8 | .... .. ... . |
|  2050 | 0468 (- 0010) .. .... 72E | 20E0 (+ 0038) .. .... 74C | 22A4 (- 001C) .. .... 72E | .... .. ... . |
|  2051 | 0458 (- 0010) .. .... 774 | 2118 (+ 0038) .. .... 788 | 2288 (- 001C) .. .... 774 | .... .. ... . |
|  2052 | 0448 (- 0010) .. .... 7BA | 2150 (+ 0038) .. .... 7C4 | 2070 (B-4 BB) .. .... 7BA | .... .. ... . |
|  2053 | 0438 (B-1 97) .. .... 800 | 2118 (- 0038) .. .... 800 | 20A8 (+ 0038) .. .... 800 | .... .. ... . |
|  2054 | ....  ... ..  .. .... 7BA | 20E0 (- 0038) .. .... 7C4 | 20E0 (+ 0038) .. .... 7BA | .... .. ... . |
|  2055 | 0448 (C-2 98) .. .... 774 | 20A8 (- 0038) .. .... 788 | 2118 (+ 0038) .. .... 774 | .... .. ... . |
|  2056 | 0458 (+ 0010) .. .... 72E | 1CF0 (A-4 B9) .. .... 74C | 2150 (+ 0038) .. .... 72E | .... .. ... . |
|  2057 | 0468 (+ 0010) .. .... 6E8 | ....  ... ..  .. .... 710 | 2118 (- 0038) .. .... 6E8 | .... .. ... . |
|  2058 | 0478 (+ 0010) .. .... 6A2 | 1D28 (+ 0038) .. .... 6D4 | 20E0 (- 0038) .. .... 72E | .... .. ... . |
|  2059 | 0468 (- 0010) .. .... 65C | 1D60 (+ 0038) .. .... 698 | 20A8 (- 0038) .. .... 774 | .... .. ... . |
|  2060 | 0458 (- 0010) .. .... 616 | 1D98 (+ 0038) .. .... 65C | 1CF0 (A-4 B9) .. .... 7BA | .... .. ... . |
|  2061 | 0448 (- 0010) .. .... 5D0 | 1DD0 (+ 0038) .. .... 620 | ....  ... ..  .. .... 800 | .... .. ... . |
|  2062 | 0438 (B-1 97) .. .... 58A | 1D98 (- 0038) .. .... 5E4 | 1D28 (+ 0038) .. .... 7BA | .... .. ... . |
|  2063 | ....  ... ..  .. .... 544 | 1D60 (- 0038) .. .... 620 | 1D60 (+ 0038) .. .... 774 | .... .. ... . |
|  2064 | 040C (- 002C) .. .... 4FE | 3404 (G-5 C3) .. .... 65C | 1D98 (+ 0038) .. .... 72E | .... .. ... . |
|  2065 | 041C (+ 0010) .. .... 4B8 | 33E8 (- 001C) .. .... 698 | 1DD0 (+ 0038) .. .... 6E8 | .... .. ... . |
|  2066 | 042C (+ 0010) .. .... 472 | ....  ... ..  .. .... 6D4 | 1D98 (- 0038) .. .... 72E | .... .. ... . |
|  2067 | 043C (C-2 98) .. .... 42C | 3404 (+ 001C) .. .... 710 | 1D60 (- 0038) .. .... 774 | .... .. ... . |
|  2068 | 042C (B-1 97) .. .... 3E6 | 3420 (+ 001C) .. .... 74C | 3404 (G-5 C3) .. .... 7BA | .... .. ... . |
|  2069 | 041C (- 0010) .. .... 3A0 | 343C (+ 001C) .. .... 788 | 33E8 (- 001C) .. .... 800 | .... .. ... . |
|  2070 | 040C (- 0010) .. .... 35A | 3458 (+ 001C) .. .... 7C4 | ....  ... ..  .. .... 7BA | .... .. ... . |
|  2071 | 03FC (A#1 96) .. .... 314 | 343C (- 001C) .. .... 800 | 3404 (+ 001C) .. .... 774 | .... .. ... . |
|  2072 | ....  ... ..  .. .... 2CE | 3420 (- 001C) .. .... 7C4 | 3420 (+ 001C) .. .... 72E | .... .. ... . |
|  2073 | 040C (B-1 97) .. .... 314 | 3404 (- 001C) .. .... 788 | 343C (+ 001C) .. .... 6E8 | .... .. ... . |
|  2074 | 041C (+ 0010) .. .... 35A | 33E8 (- 001C) .. .... 74C | 3458 (+ 001C) .. .... 72E | .... .. ... . |
|  2075 | 042C (+ 0010) .. .... 3A0 | ....  ... ..  .. .... 710 | 343C (- 001C) .. .... 774 | .... .. ... . |
|  2076 | 043C (C-2 98) .. .... 3E6 | 3404 (+ 001C) .. .... 6D4 | 3420 (- 001C) .. .... 7BA | .... .. ... . |
|  2077 | 042C (B-1 97) .. .... 42C | 3420 (+ 001C) .. .... 698 | 3404 (- 001C) .. .... 800 | .... .. ... . |
|  2078 | 041C (- 0010) .. .... 472 | 343C (+ 001C) .. .... 65C | 33E8 (- 001C) .. .... 7BA | .... .. ... . |
|  2079 | 040C (- 0010) .. .... 4B8 | 3458 (+ 001C) .. .... 620 | ....  ... ..  .. .... 774 | .... .. ... . |
|  2080 | 03FC (A#1 96) .. .... 4FE | 343C (- 001C) .. .... 5E4 | 3404 (+ 001C) .. .... 72E | .... .. ... . |
|  2081 | ....  ... ..  .. .... 544 | 3420 (- 001C) .. .... 620 | 3420 (+ 001C) .. .... 6E8 | .... .. ... . |
|  2082 | 040C (B-1 97) .. .... 58A | 3404 (- 001C) .. .... 65C | 343C (+ 001C) .. .... 72E | .... .. ... . |
|  2083 | 041C (+ 0010) .. .... 5D0 | 33E8 (- 001C) .. .... 698 | 3458 (+ 001C) .. .... 774 | .... .. ... . |
|  2084 | 042C (+ 0010) .. .... 616 | ....  ... ..  .. .... 6D4 | 343C (- 001C) .. .... 7BA | .... .. ... . |
|  2085 | 043C (C-2 98) .. .... 65C | 3404 (+ 001C) .. .... 710 | 3420 (- 001C) .. .... 800 | .... .. ... . |
|  2086 | 042C (B-1 97) .. .... 6A2 | 3420 (+ 001C) .. .... 74C | 3404 (- 001C) .. .... 7BA | .... .. ... . |
|  2087 | 041C (- 0010) .. .... 6E8 | 343C (+ 001C) .. .... 788 | 33E8 (- 001C) .. .... 774 | .... .. ... . |
|  2088 | 039C (A-1 95) .. .... 72E | 3458 (+ 001C) .. .... 7C4 | ....  ... ..  .. .... 72E | .... .. ... . |
|  2089 | 038C (G#1 94) .. .... 774 | 343C (- 001C) .. .... 800 | 3404 (+ 001C) .. .... 6E8 | .... .. ... . |
|  2090 | ....  ... ..  .. .... 7BA | 3420 (- 001C) .. .... 7C4 | 3420 (+ 001C) .. .... 72E | .... .. ... . |
|  2091 | 039C (A-1 95) .. .... 800 | 3404 (- 001C) .. .... 788 | 343C (+ 001C) .. .... 774 | .... .. ... . |
|  2092 | 03AC (+ 0010) .. .... 7BA | 33E8 (- 001C) .. .... 74C | 3458 (+ 001C) .. .... 7BA | .... .. ... . |
|  2093 | 03BC (+ 0010) .. .... 774 | ....  ... ..  .. .... 710 | 343C (- 001C) .. .... 800 | .... .. ... . |
|  2094 | 03CC (A#1 96) .. .... 72E | 3404 (+ 001C) .. .... 6D4 | 3420 (- 001C) .. .... 7BA | .... .. ... . |
|  2095 | 03BC (A-1 95) .. .... 6E8 | 3420 (+ 001C) .. .... 698 | 3404 (- 001C) .. .... 774 | .... .. ... . |
|  2096 | 03AC (- 0010) .. .... 6A2 | 343C (+ 001C) .. .... 65C | 33E8 (- 001C) .. .... 72E | .... .. ... . |
|  2097 | 039C (- 0010) .. .... 65C | 3458 (+ 001C) .. .... 620 | ....  ... ..  .. .... 6E8 | .... .. ... . |
|  2098 | 038C (G#1 94) .. .... 616 | 343C (- 001C) .. .... 5E4 | 3404 (+ 001C) .. .... 72E | .... .. ... . |
|  2099 | ....  ... ..  .. .... 5D0 | 3420 (- 001C) .. .... 620 | 3420 (+ 001C) .. .... 774 | .... .. ... . |
|  2100 | 039C (A-1 95) .. .... 58A | 3404 (- 001C) .. .... 65C | 343C (+ 001C) .. .... 7BA | .... .. ... . |
|  2101 | 03AC (+ 0010) .. .... 544 | 33E8 (- 001C) .. .... 698 | 3458 (+ 001C) .. .... 800 | .... .. ... . |
|  2102 | 03BC (+ 0010) .. .... 4FE | ....  ... ..  .. .... 6D4 | 343C (- 001C) .. .... 7BA | .... .. ... . |
|  2103 | 03CC (A#1 96) .. .... 4B8 | 3404 (+ 001C) .. .... 710 | 3420 (- 001C) .. .... 774 | .... .. ... . |
|  2104 | 03BC (A-1 95) .. .... 472 | 3420 (+ 001C) .. .... 74C | 3404 (- 001C) .. .... 72E | .... .. ... . |
|  2105 | 03AC (- 0010) .. .... 42C | 343C (+ 001C) .. .... 788 | 33E8 (- 001C) .. .... 6E8 | .... .. ... . |
|  2106 | 039C (- 0010) .. .... 3E6 | 3458 (+ 001C) .. .... 7C4 | ....  ... ..  .. .... 72E | .... .. ... . |
|  2107 | 038C (G#1 94) .. .... 3A0 | 343C (- 001C) .. .... 800 | 3404 (+ 001C) .. .... 774 | .... .. ... . |
|  2108 | ....  ... ..  .. .... 35A | 3420 (- 001C) .. .... 7C4 | 3420 (+ 001C) .. .... 7BA | .... .. ... . |
|  2109 | 039C (A-1 95) .. .... 314 | 3404 (- 001C) .. .... 788 | 343C (+ 001C) .. .... 800 | .... .. ... . |
|  2110 | 03AC (+ 0010) .. .... 2CE | 33E8 (- 001C) .. .... 74C | 3458 (+ 001C) .. .... 7BA | .... .. ... . |
|  2111 | 03BC (+ 0010) .. .... 314 | ....  ... ..  .. .... 710 | 343C (- 001C) .. .... 774 | .... .. ... . |
|  2112 | 0362 (G#1 94) .. .... 35A | 26E4 (D-5 BE) .. .... 6D4 | 3420 (- 001C) .. .... 72E | .... .. ... . |
|  2113 | 0352 (G-1 93) .. .... 3A0 | 2700 (+ 001C) .. .... 698 | 3404 (- 001C) .. .... 6E8 | .... .. ... . |
|  2114 | 0342 (- 0010) .. .... 3E6 | 271C (+ 001C) .. .... 65C | 33E8 (- 001C) .. .... 72E | .... .. ... . |
|  2115 | 0332 (- 0010) .. .... 42C | 2738 (+ 001C) .. .... 620 | ....  ... ..  .. .... 774 | .... .. ... . |
|  2116 | 0322 (F#1 92) .. .... 472 | 271C (- 001C) .. .... 5E4 | 26E4 (D-5 BE) .. .... 7BA | .... .. ... . |
|  2117 | ....  ... ..  .. .... 4B8 | 2700 (- 001C) .. .... 620 | 2700 (+ 001C) .. .... 800 | .... .. ... . |
|  2118 | 0332 (G-1 93) .. .... 4FE | 26E4 (- 001C) .. .... 65C | 271C (+ 001C) .. .... 7BA | .... .. ... . |
|  2119 | 0342 (+ 0010) .. .... 544 | 26C8 (- 001C) .. .... 698 | 2738 (+ 001C) .. .... 774 | .... .. ... . |
|  2120 | 0352 (+ 0010) .. .... 58A | ....  ... ..  .. .... 6D4 | 271C (- 001C) .. .... 72E | .... .. ... . |
|  2121 | 0362 (G#1 94) .. .... 5D0 | 26E4 (+ 001C) .. .... 710 | 2700 (- 001C) .. .... 6E8 | .... .. ... . |
|  2122 | 0352 (G-1 93) .. .... 616 | 2700 (+ 001C) .. .... 74C | 26E4 (- 001C) .. .... 72E | .... .. ... . |
|  2123 | 0342 (- 0010) .. .... 65C | 271C (+ 001C) .. .... 788 | 26C8 (- 001C) .. .... 774 | .... .. ... . |
|  2124 | 0332 (- 0010) .. .... 6A2 | 2738 (+ 001C) .. .... 7C4 | ....  ... ..  .. .... 7BA | .... .. ... . |
|  2125 | 0322 (F#1 92) .. .... 6E8 | 271C (- 001C) .. .... 800 | 26E4 (+ 001C) .. .... 800 | .... .. ... . |
|  2126 | ....  ... ..  .. .... 72E | 2700 (- 001C) .. .... 7C4 | 2700 (+ 001C) .. .... 7BA | .... .. ... . |
|  2127 | 0332 (G-1 93) .. .... 774 | 26E4 (- 001C) .. .... 788 | 271C (+ 001C) .. .... 774 | .... .. ... . |
|  2128 | 0342 (+ 0010) .. .... 7BA | 26C8 (- 001C) .. .... 74C | 2738 (+ 001C) .. .... 72E | .... .. ... . |
|  2129 | 0352 (+ 0010) .. .... 800 | ....  ... ..  .. .... 710 | 271C (- 001C) .. .... 6E8 | .... .. ... . |
|  2130 | 0362 (G#1 94) .. .... 7BA | 26E4 (+ 001C) .. .... 6D4 | 2700 (- 001C) .. .... 72E | .... .. ... . |
|  2131 | 0352 (G-1 93) .. .... 774 | 2700 (+ 001C) .. .... 698 | 26E4 (- 001C) .. .... 774 | .... .. ... . |
|  2132 | 0342 (- 0010) .. .... 72E | 271C (+ 001C) .. .... 65C | 26C8 (- 001C) .. .... 7BA | .... .. ... . |
|  2133 | 0332 (- 0010) .. .... 6E8 | 2738 (+ 001C) .. .... 620 | ....  ... ..  .. .... 800 | .... .. ... . |
|  2134 | 0322 (F#1 92) .. .... 6A2 | 271C (- 001C) .. .... 5E4 | 26E4 (+ 001C) .. .... 7BA | .... .. ... . |
|  2135 | ....  ... ..  .. .... 65C | 2700 (- 001C) .. .... 620 | 2700 (+ 001C) .. .... 774 | .... .. ... . |
|  2136 | 0448 (C-2 98) .. .... 616 | 22A4 (C-5 BC) .. .... 65C | 271C (+ 001C) .. .... 72E | .... .. ... . |
|  2137 | 0458 (+ 0010) .. .... 5D0 | 2288 (- 001C) .. .... 698 | 2738 (+ 001C) .. .... 6E8 | .... .. ... . |
|  2138 | 0468 (+ 0010) .. .... 58A | ....  ... ..  .. .... 6D4 | 271C (- 001C) .. .... 72E | .... .. ... . |
|  2139 | 0478 (+ 0010) .. .... 544 | 22A4 (+ 001C) .. .... 710 | 2700 (- 001C) .. .... 774 | .... .. ... . |
|  2140 | 0468 (- 0010) .. .... 4FE | 22C0 (+ 001C) .. .... 74C | 22A4 (C-5 BC) .. .... 7BA | .... .. ... . |
|  2141 | 0458 (- 0010) .. .... 4B8 | 22DC (+ 001C) .. .... 788 | 2288 (- 001C) .. .... 800 | .... .. ... . |
|  2142 | 0448 (- 0010) .. .... 472 | 22F8 (+ 001C) .. .... 7C4 | ....  ... ..  .. .... 7BA | .... .. ... . |
|  2143 | 0438 (B-1 97) .. .... 42C | 22DC (- 001C) .. .... 800 | 22A4 (+ 001C) .. .... 774 | .... .. ... . |
|  2144 | ....  ... ..  .. .... 3E6 | 20E0 (B-4 BB) .. .... 7C4 | 22C0 (+ 001C) .. .... 72E | .... .. ... . |
|  2145 | 0448 (C-2 98) .. .... 3A0 | 20A8 (- 0038) .. .... 788 | 22DC (+ 001C) .. .... 6E8 | .... .. ... . |
|  2146 | 0458 (+ 0010) .. .... 35A | 2070 (- 0038) .. .... 74C | 22F8 (+ 001C) .. .... 72E | .... .. ... . |
|  2147 | 0468 (+ 0010) .. .... 314 | ....  ... ..  .. .... 710 | 22DC (- 001C) .. .... 774 | .... .. ... . |
|  2148 | 0478 (+ 0010) .. .... 2CE | 20A8 (+ 0038) .. .... 6D4 | 20E0 (B-4 BB) .. .... 7BA | .... .. ... . |
|  2149 | 0468 (- 0010) .. .... 314 | 20E0 (+ 0038) .. .... 698 | 20A8 (- 0038) .. .... 800 | .... .. ... . |
|  2150 | 0458 (- 0010) .. .... 35A | 2118 (+ 0038) .. .... 65C | 2070 (- 0038) .. .... 7BA | .... .. ... . |
|  2151 | 0448 (- 0010) .. .... 3A0 | 2150 (+ 0038) .. .... 620 | ....  ... ..  .. .... 774 | .... .. ... . |
|  2152 | 0438 (B-1 97) .. .... 3E6 | 1D98 (A-4 B9) .. .... 5E4 | 20A8 (+ 0038) .. .... 72E | .... .. ... . |
